DATA_EXIBICAO;TITULO_ORIGINAL;TITULO_BRASIL;CPB_ROE;PAIS_OBRA;REGISTRO_SALA;NOME_SALA;PUBLICO;REGISTRO_GRUPO_EXIBIDOR;REGISTRO_EXIBIDOR;REGISTRO_COMPLEXO;MUNICIPIO_SALA_COMPLEXO;UF_SALA_COMPLEXO;RAZAO_SOCIAL_DISTRIBUIDORA;CNPJ_DISTRIBUIDORA;NR_PROTOCOLO_ENVIO;DATA_HORA_ENVIO_PROTOCOLO
24/05/2026;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;E2600145500000;CORÉIA DO SUL;5001697;CINEMARK NATAL 4;86;6000018;1843;5565;NATAL;RN;CINECOLOR DO BRASIL LTDA;05.332.959/0001-48;20006574001126;26/05/2026 09:24:50
24/05/2026;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;E2600145500000;CORÉIA DO SUL;5004226;CINEMARK RIOMAR RECIFE 6;113;6000018;1843;24763;RECIFE;PE;CINECOLOR DO BRASIL LTDA;05.332.959/0001-48;20006574001126;26/05/2026 09:24:50
24/05/2026;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;E2600145500000;CORÉIA DO SUL;5002089;CINEMARK SALVADOR VII;88;6000018;1843;12976;SALVADOR;BA;CINECOLOR DO BRASIL LTDA;05.332.959/0001-48;20006574001126;26/05/2026 09:24:50
24/05/2026;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;E2600145500000;CORÉIA DO SUL;5005142;CINÉPOLIS CENTER SHOPPING UBERLÂNDIA - SALA 2;46;6000024;17266;30098;UBERLÂNDIA;MG;CINECOLOR DO BRASIL LTDA;05.332.959/0001-48;20006574001126;26/05/2026 09:24:50
24/05/2026;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;E2600145500000;CORÉIA DO SUL;5005089;CINÉPOLIS ITAQUERA SALA 06;81;6000024;17266;30012;SÃO PAULO;SP;CINECOLOR DO BRASIL LTDA;05.332.959/0001-48;20006574001126;26/05/2026 09:24:50
24/05/2026;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;E2600145500000;CORÉIA DO SUL;5005134;CINÉPOLIS MANAÍRA SHOPPING - SALA 5;63;6000024;17266;30097;JOÃO PESSOA;PB;CINECOLOR DO BRASIL LTDA;05.332.959/0001-48;20006574001126;26/05/2026 09:24:50
24/05/2026;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;E2600145500000;CORÉIA DO SUL;5000707;DOWTOWN 6;11;6000018;1843;899;RIO DE JANEIRO;RJ;CINECOLOR DO BRASIL LTDA;05.332.959/0001-48;20006574001126;26/05/2026 09:24:50
24/05/2026;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;E2600145500000;CORÉIA DO SUL;5001944;ELDORADO 06;192;6000018;1843;11840;SÃO PAULO;SP;CINECOLOR DO BRASIL LTDA;05.332.959/0001-48;20006574001126;26/05/2026 09:24:50
24/05/2026;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;E2600145500000;CORÉIA DO SUL;5004233;GUARULHOS 1;105;6000018;1843;24764;GUARULHOS;SP;CINECOLOR DO BRASIL LTDA;05.332.959/0001-48;20006574001126;26/05/2026 09:24:50
24/05/2026;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;E2600145500000;CORÉIA DO SUL;5004822;KINOPLEX AMAZONAS SALA 04;166;6000037;1991;2393;MANAUS;AM;CINECOLOR DO BRASIL LTDA;05.332.959/0001-48;20006574001126;26/05/2026 09:24:50
24/05/2026;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;E2600145500000;CORÉIA DO SUL;5000114;KINOPLEX D. PEDRO 1;115;6000037;1991;2404;CAMPINAS;SP;CINECOLOR DO BRASIL LTDA;05.332.959/0001-48;20006574001126;26/05/2026 09:24:50
24/05/2026;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;E2600145500000;CORÉIA DO SUL;5003116;KINOPLEX MACEIÓ 05;114;6000037;1991;19334;MACEIÓ;AL;CINECOLOR DO BRASIL LTDA;05.332.959/0001-48;20006574001126;26/05/2026 09:24:50
24/05/2026;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;E2600145500000;CORÉIA DO SUL;5001958;KINOPLEX NOVA AMÉRICA SALA 02;133;6000037;1991;2426;RIO DE JANEIRO;RJ;CINECOLOR DO BRASIL LTDA;05.332.959/0001-48;20006574001126;26/05/2026 09:24:50
24/05/2026;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;E2600145500000;CORÉIA DO SUL;5005567;KINOPLEX NOVA IGUAÇU SALA 06;104;6000037;1991;33119;NOVA IGUAÇU;RJ;CINECOLOR DO BRASIL LTDA;05.332.959/0001-48;20006574001126;26/05/2026 09:24:50
24/05/2026;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;E2600145500000;CORÉIA DO SUL;5004871;KINOPLEX OSASCO SALA 07;2;6000037;1991;27853;OSASCO;SP;CINECOLOR DO BRASIL LTDA;05.332.959/0001-48;20006574001126;26/05/2026 09:24:50
24/05/2026;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;E2600145500000;CORÉIA DO SUL;5000168;KINOPLEX PARKSHOPPING 5;74;6000037;2364;2415;BRASÍLIA;DF;CINECOLOR DO BRASIL LTDA;05.332.959/0001-48;20006574001126;26/05/2026 09:24:50
